"","CausalType","N","A","B","Reps","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm","efdr.js.asym.BH","efdr.jsmix.asym.BH","efdr.js.perm.BH","efdr.jsmix.perm.BH","efdr.sobel.BH","dr.js.asym.BH","dr.jsmix.asym.BH","dr.js.perm.BH","dr.jsmix.perm.BH","dr.sobel.BH"
"37",2,200,0.001,0.9,2000,0.835,0.607,0.8385,0.837,0.543,0.841,5e-04,0.01,8e-04,0.0105,0,0.2037,0.329,0.2072,0.329,0.1635
"63",3,200,0.001,0.9,2000,0.963,0.9,0.9675,0.964,0.8875,0.968,4e-04,0.0082,5e-04,0.0082,0,0.1667,0.2624,0.1695,0.2638,0.1125
"13",1,200,0.001,1,2000,0.6815,0.3585,0.68,0.683,0.2735,0.682,0,0.0137,0,0.013,0,0.252,0.381,0.2555,0.38,0.224
"39",2,200,0.001,1,2000,0.838,0.6125,0.841,0.842,0.5505,0.843,8e-04,0.01,8e-04,0.0104,0,0.2052,0.33,0.2095,0.3322,0.1673
"65",3,200,0.001,1,2000,0.964,0.903,0.968,0.9655,0.8925,0.9685,4e-04,0.0082,5e-04,0.0081,0,0.1681,0.2639,0.1714,0.2657,0.1135
"21",1,200,0.01,0.5,2000,0.699,0.3375,0.696,0.6995,0.2745,0.6995,0,0.0138,0,0.0146,0,0.3135,0.4615,0.32,0.4635,0.2745
"47",2,200,0.01,0.5,1999,0.9065,0.6778,0.9055,0.9055,0.6313,0.9075,3e-04,0.0109,3e-04,0.0114,0,0.3057,0.4357,0.3104,0.438,0.2499
"73",3,200,0.01,0.5,2000,0.9835,0.951,0.9845,0.9845,0.9445,0.9865,3e-04,0.0064,2e-04,0.0065,0,0.2455,0.3549,0.2497,0.3572,0.1885
"22",1,200,0.1,0.5,2000,0.777,0.425,0.774,0.7795,0.3645,0.7775,0,0.0122,0,0.0137,0,0.4005,0.5395,0.4105,0.539,0.3395
"48",2,200,0.1,0.5,2000,0.948,0.779,0.9485,0.9505,0.74,0.9505,0,0.0101,0,0.0106,0,0.3932,0.5238,0.403,0.5272,0.3338
"74",3,200,0.1,0.5,2000,0.998,0.987,0.9985,0.998,0.9845,0.9985,2e-04,0.0055,2e-04,0.0059,0,0.3234,0.4365,0.3317,0.4378,0.2568
"24",1,200,1,0.5,2000,0.7825,0.461,0.7835,0.786,0.3815,0.7865,0,0.0111,0,0.0132,0,0.435,0.559,0.443,0.5615,0.4125
"50",2,200,1,0.5,2000,0.9665,0.832,0.967,0.966,0.7955,0.968,2e-04,0.0087,2e-04,0.0089,0,0.4353,0.5518,0.4417,0.5522,0.411
"76",3,200,1,0.5,2000,0.997,0.993,0.998,0.9975,0.992,0.998,2e-04,0.0031,3e-04,0.0033,0,0.3647,0.4704,0.3691,0.4729,0.3334
